t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
2.333333,0.303558,-0.005186,-0.039211,0.185742,0.001152,-0.007839,8.320623,-0.020121,2.062810,2.097501,0.429337,-0.010868,-0.058214,0.281951,0.003037,-0.016673,8.320623,-0.020121,2.062810,2.097501
2.366667,0.309783,-0.005393,-0.039469,0.187943,0.001141,-0.007610,8.415494,-0.018906,2.087575,2.120172,0.438780,-0.011319,-0.058764,0.285231,0.003039,-0.016363,8.415494,-0.018906,2.087575,2.120172
2.400000,0.316081,-0.005604,-0.039718,0.190165,0.001130,-0.007385,8.510921,-0.017716,2.112458,2.143002,0.448332,-0.011782,-0.059305,0.288531,0.003039,-0.016055,8.510921,-0.017716,2.112458,2.143002
2.433333,0.322454,-0.005821,-0.039961,0.192406,0.001119,-0.007163,8.606896,-0.016548,2.137458,2.165990,0.457994,-0.012257,-0.059835,0.291850,0.003038,-0.015750,8.606896,-0.016548,2.137458,2.165990
2.466667,0.328901,-0.006042,-0.040196,0.194667,0.001107,-0.006945,8.703408,-0.015404,2.162573,2.189131,0.467767,-0.012744,-0.060355,0.295189,0.003037,-0.015446,8.703408,-0.015404,2.162573,2.189131
2.500000,0.335424,-0.006269,-0.040424,0.196948,0.001095,-0.006730,8.800447,-0.014280,2.187801,2.212423,0.477651,-0.013242,-0.060864,0.298546,0.003034,-0.015145,8.800447,-0.014280,2.187801,2.212423
2.533333,0.342023,-0.006500,-0.040645,0.199248,0.001083,-0.006519,8.898005,-0.013178,2.213141,2.235862,0.487646,-0.013752,-0.061364,0.301922,0.003030,-0.014845,8.898005,-0.013178,2.213141,2.235862
2.566667,0.348699,-0.006736,-0.040858,0.201567,0.001070,-0.006311,8.996071,-0.012096,2.238590,2.259445,0.497754,-0.014275,-0.061854,0.305317,0.003025,-0.014548,8.996071,-0.012096,2.238590,2.259445
2.600000,0.355453,-0.006978,-0.041065,0.203905,0.001057,-0.006107,9.094636,-0.011033,2.264148,2.283170,0.507975,-0.014809,-0.062334,0.308729,0.003020,-0.014253,9.094636,-0.011033,2.264148,2.283170
2.633333,0.362285,-0.007224,-0.041266,0.206260,0.001044,-0.005906,9.193690,-0.009989,2.289812,2.307033,0.518310,-0.015356,-0.062804,0.312159,0.003013,-0.013961,9.193690,-0.009989,2.289812,2.307033
2.666667,0.369195,-0.007475,-0.041459,0.208634,0.001031,-0.005708,9.293224,-0.008962,2.315580,2.331032,0.528758,-0.015915,-0.063265,0.315606,0.003005,-0.013670,9.293224,-0.008962,2.315580,2.331032
