t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,u_left,u_right
290.76800000000003,-521.5830600462402,152.05217068210388,-0.049252578310438035,0.00042877215771259256,0.0030983435308859085,0.4251456594132051,0.8281393920028792,-0.06926412230655049,0.0020618729050893695,-0.00048502379288406055,0.0014532373811455463,0.17371170678928508,0.1,0.7
290.79999999999995,-521.554866576117,152.06218107918835,-0.04927453911152494,0.00043013894207511713,0.003150635947745727,0.43150568645585574,0.8278847970046662,-0.0724416900807662,0.0020115636129247284,-0.0005124511511896423,0.0015280303758345426,0.1765113318159423,0.1,0.7
290.836,-521.5266971075047,152.07226373058654,-0.049296897724694706,0.0004311181876330267,0.0031987804442705327,0.43796552286165147,0.8276425098265807,-0.07564894651824312,0.0020387013745974186,-0.000541037098215167,0.0014241356714139613,0.17928446941779214,0.1,0.7
290.86800000000005,-521.498551674348,152.08242079250815,-0.04931671438231722,0.0004318519441986117,0.0032365652162743,0.4445240739288415,0.8274101580682313,-0.078883458397225,0.002141605220408408,-0.0005648409408807531,0.0011462216688761853,0.18202883032738534,0.1,0.7
290.9,-521.498551674348,152.08242079250815,-0.04931671438231722,0.0004318519441986117,0.0032365652162743,0.4445240739288415,0.8274101580682313,-0.078883458397225,0.002141605220408408,-0.0005648409408807531,0.0011462216688761853,0.18202883032738534,0.1,0.7
290.93600000000004,-521.4704307564398,152.09265442152522,-0.049331487224096256,0.00043257867258071555,0.003259365567398637,0.4511806433073491,0.8271767368800136,-0.08214027771210637,0.002303904327214971,-0.000579989523290166,0.0007385471037051545,0.18475260244106245,0.1,0.7
290.96799999999996,-521.4423352451324,152.1029664693354,-0.049339463346750295,0.0004335331080479842,0.0032646222307138152,0.45793402001615136,0.8269295061235444,-0.08542081728059145,0.002502974378023313,-0.0005855581422880513,0.0002545736448856668,0.18744357849391918,0.1,0.7
291.0,-521.4142664861047,152.11335866696683,-0.04933972082768905,0.0004348372760039499,0.0032517605640400163,0.46478329041847133,0.8266551652630344,-0.08872176596424304,0.0027137086752922505,-0.000584121785906229,-0.00024694625739009486,0.19010947969071706,0.1,0.7
291.03600000000006,-521.3862263974169,152.12383240332173,-0.049332518140562644,0.00043646048506148827,0.003223156463256661,0.4717274060049402,0.826336505697045,-0.09204359655596221,0.0029050577287296864,-0.000579851115869122,-0.000687701155981392,0.19274510420170057,0.1,0.7
291.068,-521.3582171517502,152.13438889891032,-0.04931890835899507,0.0004382374533028304,0.003182635661584668,0.47876528828942144,0.8259647687951409,-0.09538512632022551,0.0030567067379551555,-0.0005770298696405747,-0.001024318485967405,0.19535222872961605,0.1,0.7
291.1,-521.3302412958164,152.1450292980437,-0.049300814155790074,0.0004399460790710434,0.003135817226419149,0.48589630101783043,0.8255299525049683,-0.09874273145361137,0.0031481937892608495,-0.0005782218037487759,-0.0012061082382393076,0.1979397520408505,0.1,0.7
291.13599999999997,-521.3023013671268,152.1557546102284,-0.04928061745187745,0.00044141403530632324,0.0030887462804201904,0.493119382614643,0.8250311568789568,-0.10211728895864296,0.0031716276384988135,-0.000583271297134673,-0.001222084179535665,0.20049895065131787,0.1,0.7
291.168,-521.2743998380627,152.16656602430734,-0.049260817563433576,0.0004425855929698634,0.0030470488603016725,0.5004339050410862,0.8244715900322849,-0.1055039868851767,0.0031272302491355077,-0.0005902590998279607,-0.0010789518054446696,0.20304029153272113,0.1,0.7
291.20000000000005,-521.2465390311852,152.17746470420582,-0.049243934141283724,0.000443551275583592,0.003015972275044788,0.5078388453966075,0.8238558733892564,-0.10890363971355439,0.0030195982840613483,-0.0005962224833555594,-0.0007907106752464954,0.20555270587588467,0.1,0.7
291.236,-521.2187208519771,152.18845205673085,-0.04923190763252736,0.000444496356930705,0.0029987559775388963,0.5153331894130089,0.8231968567566886,-0.11231381896757169,0.0028670088035871472,-0.0005994294954187386,-0.0004086954099963949,0.20803837759680227,0.1,0.7
291.26800000000003,-521.1909469978245,152.19952968377774,-0.04922618994589348,0.0004456164296491341,0.0029974644685256176,0.5229161624820994,0.8225030721588992,-0.11573204697583854,0.002685422546185937,-0.0006001191544179695,3.3221878251705755e-05,0.210500556472703,0.1,0.7
291.29999999999995,-521.1632186579693,152.21069936002837,-0.0492273230786178,0.00044703330617169125,0.003011802906522186,0.5305866523895905,0.821789793180374,-0.11915908305039498,0.002500748298086764,-0.0006005235270553152,0.0004691718715607084,0.21293339757909488,0.1,0.7
291.336,-521.1355367275769,152.22196322248143,-0.04923494733973706,0.00044873554679974314,0.0030394575596541665,0.5383441658329947,0.8210690313698669,-0.12259037160071436,0.002336217610914791,-0.0006042019714663929,0.0008460224332683434,0.21535135152095633,0.1,0.7
291.36800000000005,-521.1355367275769,152.22196322248143,-0.04923494733973706,0.00044873554679974314,0.0030394575596541665,0.5383441658329947,0.8210690313698669,-0.12259037160071436,0.002336217610914791,-0.0006042019714663929,0.0008460224332683434,0.21535135152095633,0.1,0.7
291.4,-521.1079018071415,152.2333234567093,-0.04924796289173444,0.0004505970063564504,0.00307669226196341,0.5461877813314352,0.8203503149604241,-0.1260281359797629,0.002211095377928101,-0.0006137867787713661,0.0011192173804716798,0.21774380906506946,0.1,0.7
291.43600000000004,-521.0803142369731,152.24478250285046,-0.04926443027966343,0.0004524269145963432,0.003117985700375877,0.5541167638004503,0.8196432652575248,-0.12946968728772532,0.002144019778110824,-0.0006302971276000805,0.0012427054183114315,0.2201170192302795,0.1,0.7
291.46799999999996,-521.0527744899592,152.25634277641316,-0.049282197413999855,0.00045405946688836086,0.0031581012180926984,0.5621303308942018,0.8189461660201725,-0.13291427813002019,0.0021377224137303684,-0.0006519807882381718,0.0012197590282828706,0.2224669434177038,0.1,0.7
291.5,-521.0252830489908,152.26800665339124,-0.04929887704351579,0.0004554220569297749,0.003191663043854287,0.5702273316357527,0.8182589928353877,-0.13636159977425683,0.002194493259707975,-0.0006751266138948471,0.0010462581038318604,0.2247869994706649,0.1,0.7
291.53600000000006,-520.9978408202203,152.27977651543083,-0.04931235422335558,0.00045655504746338417,0.003214622752057375,0.5784071777168793,0.8175725695940146,-0.1398059946291026,0.002302962359346601,-0.0006955376427615857,0.0007598390514761326,0.2270890081729975,0.1,0.7
291.568,-520.970449023409,152.29165446625197,-0.04932102380288992,0.00045759574516693465,0.0032245360551852583,0.5866688393399266,0.8168773611376728,-0.14324813263951217,0.0024475740741970176,-0.0007095771977643108,0.000400668977373293,0.22936305372483923,0.1,0.7
291.6,-520.9431092240583,152.30364258730992,-0.049323788656014445,0.0004587039094663234,0.003220141546480057,0.5950117985152382,0.8161648740410424,-0.1466828663229876,0.0026117436296617417,-0.0007160536461226124,6.427160227296555e-06,0.2316229612151882,0.1,0.7
291.63599999999997,-520.9158234364437,152.31574261322217,-0.04932050128695703,0.00046000165890670966,0.0032025558161678843,0.6034353851965248,0.8154215447558484,-0.1501108343009861,0.002770334924892189,-0.0007157311619655343,-0.00036134693895261224,0.23386291122087227,0.1,0.7
291.668,-520.8885938024393,152.32795608576072,-0.04931160038766559,0.0004615215669896239,0.003173794942183811,0.6119386997804435,0.8146418022652077,-0.15353252731609576,0.002907616748139176,-0.000711306922479861,-0.0006747014681300982,0.23608002211478066,0.1,0.7
291.70000000000005,-520.8614228446532,152.34028435519335,-0.04929835599950699,0.0004631980641433043,0.0031377485956417834,0.6205211797763073,0.813814959625601,-0.15694603916184632,0.003002858679828889,-0.0007061429714164785,-0.0008812598538931408,0.23827953258924958,0.1,0.7
291.736,-520.8343131124478,152.35272850395233,-0.04928254532667941,0.0004649097703368424,0.0030991233371037066,0.6291816613517984,0.8129376540918865,-0.1603545198261922,0.003045790917469748,-0.0007027692072150107,-0.0009602719824884179,0.24044813381489494,0.1,0.7
291.76800000000003,-520.8072672330148,152.36528973387945,-0.04926614753659582,0.0004665248061778572,0.0030626846033795733,0.637919604834408,0.8120098083037597,-0.16375301439214096,0.0030331616575034036,-0.0007027739337815162,-0.0009044105630731898,0.24260109753831355,0.1,0.7
291.79999999999995,-520.8072672330148,152.36528973387945,-0.04926614753659582,0.0004665248061778572,0.0030626846033795733,0.637919604834408,0.8120098083037597,-0.16375301439214096,0.0030331616575034036,-0.0007027739337815162,-0.0009044105630731898,0.24260109753831355,0.1,0.7
291.836,-520.780287809218,152.37796916114374,-0.0492513191649708,0.00046796907583552616,0.003033380080308075,0.6467342289710514,0.8110326517633251,-0.16714233140429607,0.002964891571049978,-0.0007057835294461085,-0.0007127481521485447,0.24473134371736238,0.1,0.7
291.86800000000005,-520.7533771171683,152.39076818037293,-0.0492397406121916,0.00046924825398959456,0.003014298045023655,0.6556248865998068,0.8100179436436097,-0.1705197545201278,0.0028560003373772373,-0.0007107074526353696,-0.0004316642824334846,0.2468452270448208,0.1,0.7
291.9,-520.7265373284487,152.40368835699792,-0.04923279699337173,0.00047044431751786994,0.003007663853535984,0.664591183891926,0.8089723863753531,-0.1738831698064123,0.0027171343080957984,-0.0007161413393866187,-8.655591041011412e-05,0.2489459924630831,0.1,0.7
291.93600000000004,-520.6997701592115,152.41673139580385,-0.04923116098998249,0.00047168118640239574,0.003013625522940466,0.6736321044315102,0.8079097383375909,-0.17723523910943523,0.0025690551596751366,-0.0007211927251422445,0.00026397512784554275,0.2510207060674392,0.1,0.7
291.96799999999996,-520.6730771697582,152.4298993162616,-0.04923482253124179,0.0004730589332485271,0.00303078227849081,0.6827471599021305,0.8068392294706916,-0.1805720526445935,0.0024293140807109485,-0.0007264337390846972,0.0005803183053382331,0.25308077493714426,0.1,0.7
292.0,-520.6464597253482,152.44319411551646,-0.049243244623871155,0.0004746202177234038,0.003056891719306446,0.6919353286084642,0.8057673043099014,-0.18389668582799354,0.002312402806799609,-0.0007329402826359228,0.0008333350754710416,0.25511244629238916,0.1,0.7
292.03600000000006,-520.6199190112435,152.45661807959425,-0.04925510948269165,0.00047632059261866927,0.003088047867566734,0.7011959502813329,0.8047030070530925,-0.18720568947408456,0.0022363091673583755,-0.0007424669775503162,0.0009816718873937786,0.2571268650449957,0.1333,0.6667
292.068,-520.5934597793072,152.470169770186,-0.04926905412043899,0.00047806709131911025,0.0031212242249249126,0.7105264115602881,0.8035201348698922,-0.19051196539103885,0.0022006170025729815,-0.0007553442182985544,0.0010435026747793665,0.25907241993048513,0.1667,0.6333
292.1,-520.5671082942001,152.4838238750804,-0.04928432028819456,0.000479733637541035,0.0031568305655964566,0.7199095870193118,0.8013740891927663,-0.19390709332261485,0.00218589074131413,-0.0007708252450386486,0.0011094035152637183,0.26056844950662383,0.2,0.6
292.13599999999997,-520.5408919767112,152.4975522264488,-0.049300178279108466,0.0004810761683546502,0.003195604532603435,0.7293254059747105,0.7981297429618471,-0.1973933899364205,0.0021894542759645043,-0.0007920754811818192,0.0011988160367808923,0.26150627267285115,0.2333,0.5667
292.168,-520.5148313905199,152.5113321121615,-0.04931589364864555,0.0004819457143126608,0.0032368364300603496,0.7387542576740251,0.794024122835692,-0.2009398049601941,0.002213363988090528,-0.0008167620761964893,0.0012680654155280907,0.2618974481853372,0.2667,0.5333
292.20000000000005,-520.4889432456124,152.52514347251082,-0.04933095801157172,0.0004824311419001078,0.0032788021968033153,0.7481759452916191,0.7892003495948174,-0.20452344740618694,0.0022499435103252325,-0.0008380890384960281,0.0012921937930139046,0.26173210466873337,0.3,0.5
292.236,-520.4632396724297,152.53896945699395,-0.049345310942661556,0.0004828359983206287,0.003319897169368865,0.7575688651906708,0.7838077019450032,-0.20813072273664224,0.0022869095843832963,-0.0008492696608467341,0.0012692501991542202,0.2609672806100208,0.3333,0.4667
