t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
30.766666667,99.464091647,0.573443189,50.834821188,48.629270460
30.800000000,99.562213927,0.563217376,50.864217302,48.697996625
30.833333333,99.659409330,0.553050062,50.893262476,48.766146854
30.866666667,99.755671491,0.542940491,50.921952075,48.833719416
30.900000000,99.850994133,0.532887913,50.950281515,48.900712618
30.933333333,99.945371064,0.522891577,50.978246258,48.967124807
30.966666667,100.038796183,0.512950736,51.005841814,49.032954369
31.000000000,100.131263470,0.503064643,51.033063742,49.098199728
31.033333333,100.222766993,0.493232558,51.059907646,49.162859347
31.066666667,100.313300907,0.483453738,51.086369181,49.226931726
31.100000000,100.402859447,0.473727447,51.112444045,49.290415402
31.133333333,100.491436937,0.464052950,51.138127987,49.353308950
31.166666667,100.579027780,0.454429512,51.163416799,49.415610982
31.200000000,100.665626466,0.444856406,51.188306321,49.477320145
31.233333333,100.751227565,0.435332902,51.212792441,49.538435125
31.266666667,100.835825731,0.425858277,51.236871090,49.598954641
31.300000000,100.919415698,0.416431807,51.260538247,49.658877451
31.333333333,101.001992284,0.407052773,51.283789937,49.718202347
31.366666667,101.083550384,0.397720459,51.306622229,49.776928155
31.400000000,101.164084976,0.388434150,51.329031238,49.835053738
31.433333333,101.243591118,0.379193134,51.351013125,49.892577993
31.466666667,101.322063947,0.369996703,51.372564094,49.949499853
31.500000000,101.399498678,0.360844149,51.393680395,50.005818283
31.533333333,101.475890607,0.351734770,51.414358323,50.061532284
31.566666667,101.551235106,0.342667865,51.434594215,50.116640890
31.600000000,101.625527626,0.333642734,51.454384455,50.171143170
31.633333333,101.698763695,0.324658683,51.473725469,50.225038226
31.666666667,101.770938919,0.315715019,51.492613727,50.278325192
31.700000000,101.842048979,0.306811051,51.511045741,50.331003238
31.733333333,101.912089633,0.297946091,51.529018069,50.383071564
31.766666667,101.981056716,0.289119455,51.546527311,50.434529406
31.800000000,102.048946137,0.280330460,51.563570107,50.485376030
31.833333333,102.115753881,0.271578426,51.580143145,50.535610736
31.866666667,102.181476006,0.262862676,51.596243150,50.585232856
31.900000000,102.246108647,0.254182535,51.611866892,50.634241755
31.933333333,102.309648011,0.245537332,51.627011182,50.682636829
31.966666667,102.372090380,0.236926396,51.641672874,50.730417506
32.000000000,102.433432108,0.228349060,51.655848862,50.777583246
32.033333333,102.493669622,0.219804661,51.669536082,50.824133541
32.066666667,102.552799424,0.211292535,51.682731510,50.870067914
32.100000000,102.610818086,0.202812024,51.695432166,50.915385920
32.133333333,102.667722252,0.194362470,51.707635107,50.960087145
32.166666667,102.723508638,0.185943219,51.719337432,51.004171207
32.200000000,102.778174032,0.177553617,51.730536280,51.047637752
32.233333333,102.831715293,0.169193017,51.741228832,51.090486461
