t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
68.700000000,13.922137172,-0.489923372,6.018908256,7.903228916
68.733333333,13.916670286,-0.489596155,6.016804076,7.899866210
68.766666667,13.911357329,-0.489242000,6.014828665,7.896528664
68.800000000,13.906198131,-0.488860913,6.012981925,7.893216206
68.833333333,13.901192488,-0.488452910,6.011263726,7.889928763
68.866666667,13.896340167,-0.488018009,6.009673913,7.886666254
68.900000000,13.891640901,-0.487556236,6.008212304,7.883428597
68.933333333,13.887094391,-0.487067625,6.006878686,7.880215705
68.966666667,13.882700306,-0.486552213,6.005672820,7.877027485
69.000000000,13.878458282,-0.486010045,6.004594439,7.873863843
69.033333333,13.874367924,-0.485441172,6.003643246,7.870724678
69.066666667,13.870428802,-0.484845652,6.002818917,7.867609885
69.100000000,13.866640456,-0.484223546,6.002121102,7.864519354
69.133333333,13.863002391,-0.483574924,6.001549419,7.861452972
69.166666667,13.859514081,-0.482899861,6.001103463,7.858410618
69.200000000,13.856174965,-0.482198437,6.000782796,7.855392170
69.233333333,13.852984451,-0.481470741,6.000586955,7.852397496
69.266666667,13.849941913,-0.480716864,6.000515449,7.849426463
69.300000000,13.847046677,-0.479939813,6.000562160,7.846484517
69.333333333,13.844298022,-0.479153755,6.000699483,7.843598540
69.366666667,13.841695324,-0.478370046,6.000905265,7.840790059
69.400000000,13.839237976,-0.477585798,6.001184761,7.838053215
69.433333333,13.836925341,-0.476796196,6.001546909,7.835378431
69.466666667,13.834756756,-0.475997921,6.001997760,7.832758996
69.500000000,13.832731533,-0.475188708,6.002541329,7.830190204
69.533333333,13.830848958,-0.474367028,6.003180194,7.827668763
69.566666667,13.829108293,-0.473531876,6.003915923,7.825192370
69.600000000,13.827508779,-0.472682614,6.004749363,7.822759416
69.633333333,13.826049636,-0.471818860,6.005680857,7.820368779
69.666666667,13.824730058,-0.470940416,6.006710383,7.818019675
69.700000000,13.823549223,-0.470047213,6.007837664,7.815711559
69.733333333,13.822506285,-0.469139272,6.009062236,7.813444050
69.766666667,13.821600380,-0.468216679,6.010383500,7.811216880
69.800000000,13.820830623,-0.467279565,6.011800763,7.809029860
69.833333333,13.820196108,-0.466328096,6.013313254,7.806882854
69.866666667,13.819695913,-0.465362458,6.014920152,7.804775761
69.900000000,13.819329093,-0.464382857,6.016620591,7.802708501
69.933333333,13.819094687,-0.463389508,6.018413675,7.800681012
69.966666667,13.818991715,-0.462382636,6.020298479,7.798693235
70.000000000,13.819019177,-0.461362475,6.022274059,7.796745118
70.033333333,13.819176057,-0.460329261,6.024339450,7.794836607
70.066666667,13.819461321,-0.459283234,6.026493672,7.792967648
70.100000000,13.819873916,-0.458224637,6.028735733,7.791138183
70.133333333,13.820412774,-0.457153716,6.031064626,7.789348148
70.166666667,13.821076809,-0.456070717,6.033479332,7.787597476
70.200000000,13.821864917,-0.454975890,6.035978824,7.785886093
70.233333333,13.822775980,-0.453869483,6.038562061,7.784213919
70.266666667,13.823808862,-0.452751746,6.041227996,7.782580866
70.300000000,13.824962412,-0.451622930,6.043975571,7.780986841
70.333333333,13.826235464,-0.450483286,6.046803719,7.779431744
70.366666667,13.827626835,-0.449333066,6.049711368,7.777915467
70.400000000,13.829135328,-0.448172520,6.052697433,7.776437895
70.433333333,13.830759732,-0.447001901,6.055760826,7.774998906
70.466666667,13.832498819,-0.445821460,6.058900449,7.773598370
70.500000000,13.834351349,-0.444631447,6.062115199,7.772236150
70.533333333,13.836316068,-0.443432116,6.065403965,7.770912103
70.566666667,13.838391706,-0.442223716,6.068765631,7.769626075
70.600000000,13.840576982,-0.441006497,6.072199074,7.768377908
70.633333333,13.842870600,-0.439780710,6.075703166,7.767167435
70.666666667,13.845271253,-0.438546604,6.079276773,7.765994480
70.700000000,13.847777620,-0.437304427,6.082918757,7.764858862
70.733333333,13.850388366,-0.436054428,6.086627975,7.763760392
70.766666667,13.853102148,-0.434796854,6.090403278,7.762698870
70.800000000,13.855917607,-0.433531951,6.094243514,7.761674094
70.833333333,13.858833375,-0.432259964,6.098147527,7.760685849
70.866666667,13.861848072,-0.430981137,6.102114157,7.759733915
70.900000000,13.864960306,-0.429695714,6.106142241,7.758818065
70.933333333,13.868168674,-0.428403937,6.110230612,7.757938062
70.966666667,13.871471764,-0.427106047,6.114378100,7.757093664
71.000000000,13.874868154,-0.425802282,6.118583534,7.756284620
71.033333333,13.878356409,-0.424492882,6.122845739,7.755510670
71.066666667,13.881935086,-0.423178083,6.127163538,7.754771548
71.100000000,13.885602733,-0.421858120,6.131535752,7.754066982
71.133333333,13.889357888,-0.420533227,6.135961200,7.753396689
71.166666667,13.893199081,-0.419203637,6.140438700,7.752760380
71.200000000,13.897124830,-0.417869579,6.144967070,7.752157760
71.233333333,13.901133648,-0.416531284,6.149545125,7.751588523
71.266666667,13.905224038,-0.415188977,6.154171678,7.751052359
71.300000000,13.909394495,-0.413842885,6.158845545,7.750548949
71.333333333,13.913643506,-0.412493231,6.163565540,7.750077967
71.366666667,13.917969553,-0.411140237,6.168330475,7.749639078
71.400000000,13.922371106,-0.409784122,6.173139164,7.749231942
71.433333333,13.926846631,-0.408425106,6.177990420,7.748856211
71.466666667,13.931394587,-0.407063402,6.182883059,7.748511529
71.500000000,13.936013426,-0.405699226,6.187815893,7.748197533
71.533333333,13.940701594,-0.404332790,6.192787739,7.747913855
71.566666667,13.945457529,-0.402964303,6.197797413,7.747660116
71.600000000,13.950279666,-0.401593972,6.202843733,7.747435933
71.633333333,13.955166432,-0.400222004,6.207925516,7.747240916
71.666666667,13.960116249,-0.398848602,6.213041583,7.747074667
71.700000000,13.965127535,-0.397473967,6.218190755,7.746936780
71.733333333,13.970198702,-0.396098297,6.223371856,7.746826846
71.766666667,13.975328158,-0.394721791,6.228583712,7.746744446
71.800000000,13.980514305,-0.393344641,6.233825150,7.746689155
